genome_id	genome_id_safe	assembly_name	genome_id_status	organism_type	haplotype	assembly_version	is_public	embargo_until	prov_bioproject_parent	prov_bioproject	prov_biosample	prov_insdc_note	prov_genome_doi	prov_publication_doi	prov_data_usage_policy	prov_annotation_pipeline	prov_annotation_pipeline_version	prov_ref_db	prov_ref_db_version	prov_annotation_transferred_from	spec_specimen_id	spec_collector	spec_collection_date	spec_site_name	spec_lat	spec_lon	spec_symbiont_status	tax_ncbi_taxid	tax_class	tax_order	tax_family	tax_genus	tax_species	tax_ott_id
GCA_014634245.1	GCA_014634245_1	Mcac_1.0	accession	coral_host	NA	v2	TRUE	NA	PRJEB40665	PRJDB8519	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: VARUS + db [Cnidaria + Scleractinia]; R2: VARUS + db [Scleractinia v2]	v2	NA	Sperm of Montipora cactus	NA	2015-05	Japan	NA	NA	NA	246299	Anthozoa	Scleractinia	Acroporidae	Montipora	Montipora cactus	322062
GCA_014634505.1	GCA_014634505_1	Meff_1.0	accession	coral_host	NA	v2	TRUE	NA	PRJEB40665	PRJDB8519	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: VARUS + db [Cnidaria + Scleractinia]; R2: VARUS + db [Scleractinia v2]	v2	NA	Sperm of Montipora efflorescens	NA	2015-05	Japan	NA	NA	NA	105610	Anthozoa	Scleractinia	Acroporidae	Montipora	Montipora efflorescens	1048408
GCA_014634525.1	GCA_014634525_1	Asel_1.0	accession	coral_host	NA	v2	TRUE	NA	PRJEB40665	PRJDB8519	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: VARUS + db [Cnidaria + Scleractinia]; R2: VARUS + db [Scleractinia v2]	v2	NA	Sperm of Acropora selago	NA	2015-05	Japan	NA	NA	NA	165727	Anthozoa	Scleractinia	Acroporidae	Acropora	Acropora selago	854451
GCA_014634605.1	GCA_014634605_1	Aflo_1.0	accession	coral_host	NA	v2	TRUE	NA	PRJEB40665	PRJDB8519	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: db [Scleractinia v2]	v2	NA	Sperm of Acropora florida	NA	2015-05	Japan	NA	NA	NA	70782	Anthozoa	Scleractinia	Acroporidae	Acropora	Acropora florida	1029828
GCA_016490735.1	GCA_016490735_1	ASM1649073v1	accession	coral_host	NA	v2	TRUE	NA	PRJEB40665	PRJNA686157	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: VARUS + db [Cnidaria + Scleractinia]; R2: VARUS + db [Scleractinia v2]	v2	NA	NA	NA	12/8/2014	Australia: Orpheus Island	-18.608	146.489	NA	497657	Anthozoa	Scleractinia	Pachyseridae	Pachyseris	Pachyseris speciosa	832290
GCA_019787425.1	GCA_019787425_1	ASM1978742v1	accession	coral_host	NA	v2	TRUE	NA	PRJEB40665	PRJNA736579	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: VARUS + db [Cnidaria + Scleractinia]; R2: VARUS + db [Scleractinia v2]	v2	NA	NA	NA	3/4/2021	Thailand	NA	NA	NA	102205	Anthozoa	Scleractinia	Merulinidae	Platygyra	Platygyra sinensis	145351
GCA_022179025.1	GCA_022179025_1	Paus_1.0	accession	coral_host	NA	v2	TRUE	NA	PRJEB40665	PRJDB4187	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: VARUS + db [Cnidaria + Scleractinia]; R2: VARUS + db [Scleractinia v2]	v2	NA	pau_genomic_DNA	NA	2012	Japan:Okinawa	26.635593	127.865581	NA	51061	Anthozoa	Scleractinia	Poritidae	Porites	Porites australiensis	431915
GCA_022457155.1	GCA_022457155_1	ASM2245715v1	accession	coral_host	NA	v2	TRUE	NA	PRJEB40665	PRJNA776711	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: VARUS + db [Cnidaria + Scleractinia]; R2: VARUS + db [Scleractinia v2]	v2	NA	NA	NA	NA	China:Sanya Bay	NA	NA	NA	388437	Anthozoa	Scleractinia	Dendrophylliidae	Cladopsammia	Cladopsammia gracilis	244204
GCA_964019555.1	GCA_964019555_1	jaAcrSpat14.1	accession	coral_host	hap1	v2	TRUE	NA	PRJEB40665	PRJEB74383	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: VARUS + db [Cnidaria + Scleractinia]; R2: VARUS + db [Scleractinia v2]	v2	NA	NOT PROVIDED	J CRAGGS	9/2/2020	United Kingdom	NA	NA	NA	141011	Anthozoa	Scleractinia	Acroporidae	Acropora	Acropora spathulata	687109
GCA_023091755.1	GCA_023091755_1	Montipora_aff_capitata_1.0	accession	coral_host	NA	v2	TRUE	NA	PRJEB40665	PRJNA812941	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: db [Scleractinia v2]	v2	NA	NA	NA	2018	Pacific Ocean	10.01199217	139.7893772	NA	2924933	Anthozoa	Scleractinia	Acroporidae	Montipora	Montipora sp. Colony 1 RG-2022	NA
